street_name,latitude,longitude
ANG MO KIO AVE 1,1.3643623904789,103.846004854819
ANG MO KIO AVE 3,1.3708152270552,103.86405023295
ANG MO KIO AVE 4,1.37999943101882,103.841407224475
ANG MO KIO AVE 10,1.36265410749321,103.855288297631
ANG MO KIO AVE 5,1.37731149652799,103.860485872465
ANG MO KIO AVE 8,1.36257285737839,103.852539960282
ANG MO KIO AVE 6,1.36775537872269,103.844716816738
ANG MO KIO AVE 9,1.38320877445053,103.838551545698
ANG MO KIO AVE 2,1.3643623904789,103.846004854819
BEDOK RESERVOIR RD,1.33758734617106,103.921963603077
BEDOK NTH ST 3,1.33078667404073,103.924260113816
BEDOK STH RD,1.32050083785242,103.935473637292
NEW UPP CHANGI RD,1.32420087334002,103.941125277547
BEDOK NTH RD,1.32785578389017,103.939708785127
BEDOK STH AVE 1,1.32228550455303,103.932474096336
CHAI CHEE RD,1.32329022760147,103.924151826832
CHAI CHEE DR,1.32267337594582,103.919995582519
BEDOK NTH AVE 4,1.3343559340081,103.939032711241
BEDOK STH AVE 3,1.32003490215579,103.944571586111
BEDOK STH AVE 2,1.32399627990304,103.937745023577
BEDOK NTH ST 2,1.32609868101702,103.93881875464
BEDOK NTH ST 4,1.33295683726302,103.938220862136
BEDOK NTH AVE 2,1.32892016880661,103.931610476654
BEDOK NTH AVE 3,1.32754842669276,103.935739668534
BEDOK NTH AVE 1,1.33226851755603,103.927036580009
BEDOK NTH ST 1,1.32591841541763,103.931686958494
CHAI CHEE ST,1.32761801944271,103.925191555708
SIN MING RD,1.3601801713498,103.840443376455
SHUNFU RD,1.35200745401591,103.837031862103
BT BATOK ST 11,1.34771260329352,103.744457711595
BT BATOK WEST AVE 8,1.34716236191294,103.742807879476
BT BATOK WEST AVE 6,1.35041938628227,103.745716703636
BT BATOK ST 21,1.34632214187483,103.75432788468
BT BATOK EAST AVE 5,1.34908254998383,103.754518186115
BT BATOK EAST AVE 4,1.34885036049503,103.757903337572
HILLVIEW AVE,1.35694493984815,103.761554819048
BT BATOK CTRL,1.34973962636545,103.751531277542
BT BATOK ST 31,1.35499119318065,103.75155979178
BT BATOK EAST AVE 3,1.34762239826035,103.757150072517
TAMAN HO SWEE,1.28780753147299,103.832780576669
TELOK BLANGAH CRES,1.27736813225761,103.818651524334
BEO CRES,1.28883089150258,103.827353892228
TELOK BLANGAH DR,1.27336490550026,103.807621587927
DEPOT RD,1.28301511382069,103.808181799148
TELOK BLANGAH RISE,1.27276128570286,103.822363542256
JLN BT MERAH,1.28000480135122,103.82601329621
HENDERSON RD,1.28907114485773,103.823733673089
INDUS RD,1.28948198551176,103.830085402755
BT MERAH VIEW,1.28550445567433,103.821823256087
HENDERSON CRES,1.29071799751539,103.821625207737
BT PURMEI RD,1.27446978425392,103.825878114028
TELOK BLANGAH HTS,1.27425274045994,103.812429094644
EVERTON PK,1.27702306089447,103.838342631308
KG BAHRU HILL,,
REDHILL CL,1.28425565124035,103.817825118033
HOY FATT RD,1.29008398441425,103.813596723839
HAVELOCK RD,1.28775546193797,103.829362888759
JLN KLINIK,1.28811451810467,103.829040334276
JLN RUMAH TINGGI,1.28857594666894,103.807868203047
JLN BT HO SWEE,1.28728822015938,103.831873006286
KIM CHENG ST,1.2846906958963,103.831590918207
MOH GUAN TER,1.28467056650891,103.831049307715
TELOK BLANGAH WAY,1.27839641719966,103.817769248104
KIM TIAN RD,1.2848073380459,103.829298010559
KIM TIAN PL,1.28348511207749,103.827043785507
EMPRESS RD,1.31624052960518,103.805636700397
QUEEN'S RD,1.31726629524359,103.806782877524
FARRER RD,1.31743915158967,103.807379214161
JLN KUKOH,1.2882310152805,103.839934168065
OUTRAM PK,1.27972059383553,103.839439862425
SHORT ST,1.30216649837414,103.850220866477
SELEGIE RD,1.30010826723486,103.849264127911
UPP CROSS ST,1.28398513141527,103.84527387283
WATERLOO ST,1.29878752559509,103.851967011645
QUEEN ST,1.30124395738286,103.854907561025
BUFFALO RD,1.30617705352996,103.850611312978
ROWELL RD,1.30843826814004,103.85484083026
ROCHOR RD,1.30148706909734,103.854568540158
BAIN ST,1.29681525928856,103.853619482206
SMITH ST,1.28202349097139,103.84487597175
VEERASAMY RD,1.30754470402275,103.852892643539
TECK WHYE AVE,1.38253882861956,103.751710905678
TECK WHYE LANE,1.38041181166501,103.75258047021
CLEMENTI AVE 3,1.31331969319644,103.764517192874
WEST COAST DR,1.31193388099262,103.759080462665
CLEMENTI AVE 2,1.31437328536733,103.770805494512
CLEMENTI AVE 5,1.31542671896834,103.766840120707
CLEMENTI AVE 4,1.32217649495476,103.764912144396
CLEMENTI AVE 1,1.30973331229192,103.76863729776
WEST COAST RD,1.31568354839958,103.751633496716
CLEMENTI WEST ST 1,1.305104400087,103.766311863504
CLEMENTI WEST ST 2,1.30413678048377,103.76381785742
CLEMENTI ST 13,1.33828303068105,103.737102099236
C'WEALTH AVE WEST,1.30801640821961,103.788373154559
CLEMENTI AVE 6,1.31511075463238,103.760857456698
CLEMENTI ST 14,1.32208936757694,103.76893341249
CIRCUIT RD,1.32357971400582,103.885438842474
MACPHERSON LANE,1.33216938209876,103.886296676732
JLN PASAR BARU,,
GEYLANG SERAI,1.31649443408571,103.896941669743
EUNOS CRES,1.32430637458121,103.902160591904
SIMS DR,1.31672380462251,103.878786208516
ALJUNIED CRES,1.32095901223871,103.884129395369
GEYLANG EAST AVE 1,1.31581012706306,103.88447392439
DAKOTA CRES,1.30634114614887,103.884458183612
PINE CL,1.30787056219408,103.883192164927
HAIG RD,1.31542509324914,103.895479253328
BALAM RD,1.33142362640009,103.887410301919
JLN DUA,1.30868190843585,103.887123739313
GEYLANG EAST CTRL,1.31581012706306,103.88447392439
EUNOS RD 5,1.31962127621421,103.896076067514
HOUGANG AVE 3,1.34454464168319,103.890944357466
HOUGANG AVE 5,1.36709855359263,103.896978678668
HOUGANG AVE 1,1.35383705299112,103.886917032282
HOUGANG ST 22,1.35598784097376,103.891400623421
HOUGANG AVE 10,1.37165275008915,103.894285862537
LOR AH SOO,1.35077395739952,103.880080936615
HOUGANG ST 11,1.35192637106198,103.880320335426
HOUGANG AVE 7,1.35370313485788,103.890680820842
HOUGANG ST 21,1.35752772716505,103.884086008717
TEBAN GDNS RD,1.32052026841644,103.742651512921
JURONG EAST AVE 1,1.34224789591238,103.737310855243
JURONG EAST ST 32,1.3481114562343,103.73224640617
JURONG EAST ST 13,1.33701100762294,103.738787314099
JURONG EAST ST 21,1.33260943666141,103.746634963937
JURONG EAST ST 24,1.3425624237397,103.739259690913
JURONG EAST ST 31,1.34551210586752,103.73121914575
PANDAN GDNS,1.31984221429941,103.750394506449
YUNG KUANG RD,1.33205938554958,103.722452881172
HO CHING RD,1.33388939555115,103.723306118882
HU CHING RD,1.32916612946301,103.724154923706
BOON LAY DR,1.3425169918577,103.711734070194
BOON LAY AVE,1.34395983553427,103.707788246958
BOON LAY PL,1.34657475345489,103.714427056113
JURONG WEST ST 52,1.34805444403802,103.717617500087
JURONG WEST ST 41,1.34833335733135,103.724307317877
JURONG WEST AVE 1,1.35043776611303,103.7181137591
JURONG WEST ST 42,1.35235805595307,103.717260000102
JLN BATU,1.30236034827101,103.883909473726
ST. GEORGE'S RD,1.32340263694069,103.86163080083
NTH BRIDGE RD,1.30614080746519,103.864099281276
FRENCH RD,1.30883002147893,103.861354748625
BEACH RD,1.30407086411122,103.864784962985
WHAMPOA DR,1.3231760460434,103.853863407885
UPP BOON KENG RD,1.31360661382131,103.870398673134
BENDEMEER RD,1.3262165821023,103.870410472318
WHAMPOA WEST,1.32050169556608,103.863341271367
LOR LIMAU,1.32372053147273,103.855749473454
KALLANG BAHRU,1.32192623597067,103.872800894771
GEYLANG BAHRU,1.32005980149776,103.871792121922
DORSET RD,1.31222938722531,103.847688410095
OWEN RD,1.31574884105909,103.856945291334
KG ARANG RD,1.30082885462595,103.883694825656
JLN BAHAGIA,1.32602102238192,103.858991981159
MOULMEIN RD,1.31370473837276,103.851597798894
TOWNER RD,1.31942539040726,103.86108746288
JLN RAJAH,1.32699075133711,103.847403697576
KENT RD,1.29277432702258,103.784084020155
AH HOOD RD,1.33860894643291,103.856475963154
KING GEORGE'S AVE,1.30714018450423,103.858643250322
CRAWFORD LANE,1.30510417415071,103.860869351858
MARINE CRES,1.30553213207486,103.912582135317
MARINE DR,1.30340547617434,103.909734447292
MARINE TER,1.30409469220821,103.914244395351
C'WEALTH CL,1.303787443937,103.800385265974
C'WEALTH DR,1.2999663767853,103.797720130697
TANGLIN HALT RD,1.30186472795448,103.798174301014
C'WEALTH CRES,1.30690013206335,103.800367271218
DOVER RD,1.3025299473495,103.783271662459
MARGARET DR,1.29900723898715,103.80478933581
GHIM MOH RD,1.31099663218896,103.78823030662
DOVER CRES,1.30446092675742,103.781779696748
STIRLING RD,1.29752024517663,103.80333216638
MEI LING ST,1.29256489043285,103.803033212523
HOLLAND CL,1.30711569200945,103.795264623935
HOLLAND AVE,1.31470346891096,103.780827645869
HOLLAND DR,1.30811780015992,103.792773769341
DOVER CL EAST,1.30499200291151,103.785807493097
SELETAR WEST FARMWAY 6,1.39639451564083,103.867996557837
LOR LEW LIAN,1.35052006015449,103.875560517345
SERANGOON NTH AVE 1,1.36995099247833,103.872312299228
SERANGOON AVE 2,1.35288348468299,103.867822806036
SERANGOON AVE 4,1.36979941551155,103.873035824458
SERANGOON CTRL,1.35079806697572,103.872239084918
TAMPINES ST 11,1.34615587242231,103.944507423219
TAMPINES ST 21,1.35282401675384,103.952980112034
TAMPINES ST 91,1.34805283888458,103.939026808982
TAMPINES ST 81,1.34922100236977,103.934914286623
TAMPINES AVE 4,1.34656173045585,103.937340025822
TAMPINES ST 22,1.34883304420231,103.951207608161
TAMPINES ST 12,1.35141456108804,103.945859048593
TAMPINES ST 23,1.35384110044311,103.953080279233
TAMPINES ST 24,1.35443550096726,103.952286197035
TAMPINES ST 41,1.35844376744347,103.947541135967
TAMPINES ST 82,1.34973922385379,103.937608032148
TAMPINES ST 83,1.35324997150174,103.934560707847
TAMPINES AVE 5,1.34787831404331,103.941741144043
LOR 2 TOA PAYOH,1.33627721077055,103.84652087842
LOR 8 TOA PAYOH,1.3402610461881,103.854395758866
LOR 1 TOA PAYOH,1.34123820692527,103.846389510905
LOR 5 TOA PAYOH,1.336020767662,103.852956988062
LOR 3 TOA PAYOH,1.33735130750324,103.848494462701
LOR 7 TOA PAYOH,1.33496995780087,103.857192519078
TOA PAYOH EAST,1.33631536496443,103.854848437202
LOR 4 TOA PAYOH,1.33847469611073,103.849513448853
TOA PAYOH CTRL,1.33159005591995,103.851295104405
TOA PAYOH NTH,1.34063140668544,103.844305221987
POTONG PASIR AVE 3,1.33447489186627,103.866286539376
POTONG PASIR AVE 1,1.33270900444627,103.867989929028
UPP ALJUNIED LANE,1.33495593074876,103.881581049872
JOO SENG RD,1.33520143444299,103.878702994487
MARSILING LANE,1.44341624291824,103.777006103758
MARSILING DR,1.44067109860246,103.775739945213
MARSILING RISE,1.43847929543407,103.778615855145
MARSILING CRES,1.44620708744186,103.7736803529
WOODLANDS CTR RD,1.43903831450662,103.769799867546
WOODLANDS ST 13,1.43487477610291,103.777633328701
WOODLANDS ST 11,1.43490438295352,103.802863987176
YISHUN RING RD,1.41691210086435,103.835336299063
YISHUN AVE 5,1.43080205677888,103.833011168832
YISHUN ST 72,1.42624600707611,103.833233454885
YISHUN ST 11,1.43080205677888,103.833011168832
YISHUN ST 21,1.43232156717386,103.838094226361
YISHUN ST 22,1.43576230295726,103.836728943247
YISHUN AVE 3,1.42347167139153,103.830623267044
CHAI CHEE AVE,1.32416223531658,103.923989283543
ZION RD,1.28667299684497,103.833605041578
LENGKOK BAHRU,1.28934897171163,103.815218259723
SPOTTISWOODE PK RD,1.27394215034034,103.835659267953
NEW MKT RD,1.32420087334002,103.941125277547
TG PAGAR PLAZA,1.27515497722604,103.842393163272
KELANTAN RD,1.30613509115259,103.856130240976
PAYA LEBAR WAY,1.32573170601207,103.903329780455
UBI AVE 1,1.33118509619133,103.902098626147
SIMS AVE,1.31616810157098,103.889561883558
YUNG PING RD,1.32928599309236,103.72238572895
TAO CHING RD,1.3331903279661,103.723491055902
GLOUCESTER RD,1.3135861663611,103.85169992386
BOON KENG RD,1.31360661382131,103.870398673134
WHAMPOA STH,1.32448737406528,103.866368168069
CAMBRIDGE RD,1.3153159513727,103.849454198086
TAMPINES ST 42,1.35855296183209,103.954237132739
LOR 6 TOA PAYOH,1.33577569410594,103.855449155002
KIM KEAT AVE,1.33211291451911,103.85741659944
YISHUN AVE 6,1.43839562897006,103.839309173817
YISHUN AVE 9,1.43162370844369,103.83984841958
YISHUN ST 71,1.42716904953338,103.828952115754
BT BATOK ST 32,1.36411948475833,103.749251919049
SILAT AVE,1.27707706879078,103.831425856916
TIONG BAHRU RD,1.28613693561234,103.833027874167
SAGO LANE,1.28180062242257,103.842908159495
ST. GEORGE'S LANE,1.32263933076595,103.861706374536
LIM CHU KANG RD,1.43604625713277,103.7079344261
C'WEALTH AVE,1.30645647691157,103.794765623549
QUEEN'S CL,1.29238272764571,103.800196306719
SERANGOON AVE 3,1.3738388833849,103.872139505564
POTONG PASIR AVE 2,1.33258296864442,103.867139786368
WOODLANDS AVE 1,1.43097003446442,103.78451978162
YISHUN AVE 4,1.41590195697649,103.839100590207
LOWER DELTA RD,1.28897410982684,103.82523124027
NILE RD,,
JLN MEMBINA BARAT,,
JLN BERSEH,1.30778509510261,103.857010982845
CHANDER RD,1.30774014690879,103.850826426805
CASSIA CRES,1.30894452962256,103.883530101124
OLD AIRPORT RD,1.3082518471287,103.88580870609
ALJUNIED RD,1.33939981782186,103.873733225503
BUANGKOK STH FARMWAY 1,,
BT BATOK ST 33,1.3619538890625,103.747522777969
ALEXANDRA RD,1.28679161744876,103.796720921698
CHIN SWEE RD,1.28741411030412,103.84201477461
SIMS PL,1.31610325103482,103.879501387546
HOUGANG AVE 2,1.36868496277618,103.884309433634
HOUGANG AVE 8,1.37143736463902,103.881261079192
SEMBAWANG RD,1.4617113869106,103.837545036799
SIMEI ST 1,1.34639164064873,103.955260444558
BT BATOK ST 34,1.36376864249312,103.749335509297
BT MERAH CTRL,1.28305664324915,103.817663685706
LIM LIAK ST,1.28543704177023,103.830839342729
JLN TENTERAM,1.32769993704525,103.861236369481
WOODLANDS ST 32,1.43097610989298,103.780054761599
SIN MING AVE,1.36099060483292,103.828974355886
BT BATOK ST 52,1.35495325186625,103.751557981956
DELTA AVE,1.29152093419241,103.826999371244
PIPIT RD,1.32399305603529,103.886692720017
HOUGANG AVE 4,1.37361587694624,103.885758919948
QUEENSWAY,1.29394895112784,103.799464596114
YISHUN ST 61,1.42249529495027,103.836705519981
BISHAN ST 12,1.34540476976926,103.850579308397
JLN MA'MOR,1.32827853904357,103.856097361404
TAMPINES ST 44,1.36111329108332,103.953548456326
TAMPINES ST 43,1.35929471140245,103.952335734366
BISHAN ST 13,1.34888843900173,103.849691980101
JLN DUSUN,1.32696539864482,103.84367423097
