street_name,latitude,longitude
YISHUN AVE 2,1.416244081375,103.833187928653
JOO CHIAT RD,1.31552186936095,103.898992245034
EAST COAST RD,1.31428500790923,103.934117241924
REDHILL RD,1.28762380319793,103.817255964036
KIM PONG RD,1.28429935662089,103.830518003368
RACE COURSE RD,1.31574884105909,103.856945291334
KRETA AYER RD,1.28004979441591,103.842481877778
HOUGANG ST 61,1.37499002963882,103.88598223129
TESSENSOHN RD,1.31647752400492,103.857750849922
MARSILING RD,1.43911200532501,103.782256593639
YISHUN ST 81,1.41542424807315,103.83647690145
BT BATOK ST 51,1.3571882058688,103.751123943023
BT BATOK WEST AVE 4,1.3629029334905,103.746483437421
BT BATOK WEST AVE 2,1.36286550210696,103.743630618849
JURONG WEST ST 91,1.34199728698448,103.692646163316
JURONG WEST ST 81,1.34736600569968,103.694137958987
GANGSA RD,1.37916431633637,103.767439286222
MCNAIR RD,1.31861240780884,103.856094947902
SIMEI ST 4,1.34223585443069,103.955927098501
YISHUN AVE 7,1.43706628204098,103.831120689838
SERANGOON NTH AVE 2,1.36920170635718,103.875626641606
YISHUN AVE 11,1.43080205677888,103.833011168832
BANGKIT RD,1.38002223010088,103.772647370452
JURONG WEST ST 73,1.3477109654722,103.700467520791
OUTRAM HILL,1.28651357464735,103.837127264403
HOUGANG AVE 6,1.37340363494693,103.890971498594
PASIR RIS ST 12,1.36705021516612,103.958181857039
PENDING RD,1.37602800535195,103.769749123717
PETIR RD,1.37728755480684,103.76343057748
LOR 3 GEYLANG,1.31193818771992,103.874584454941
BISHAN ST 11,1.3481684058708,103.848454356211
PASIR RIS DR 6,1.37030597181051,103.957726863885
BISHAN ST 23,1.3578059845284,103.84770931156
JURONG WEST ST 92,1.34147250139656,103.690754295663
PASIR RIS ST 11,1.36780002443212,103.956738052947
YISHUN CTRL,1.42973387379292,103.835854862105
BISHAN ST 22,1.35777333921775,103.844621257265
SIMEI RD,1.34469945127151,103.958210105786
TAMPINES ST 84,1.35304500005173,103.932013333047
BT PANJANG RING RD,1.37727545203058,103.773096813492
JURONG WEST ST 93,1.33870216736251,103.692769468387
FAJAR RD,1.37942873617052,103.76970317201
WOODLANDS ST 81,1.44092236169149,103.789086300318
CHOA CHU KANG CTRL,1.38308302434129,103.747076627693
PASIR RIS ST 51,1.36973888896515,103.948498055594
HOUGANG ST 52,1.35304421094299,103.87823462336
CASHEW RD,1.37241441269091,103.767993951687
TOH YI DR,1.33904480982037,103.774300403826
HOUGANG CTRL,1.37089457370274,103.893157488293
KG KAYU RD,1.30355769675629,103.883796413118
TAMPINES AVE 8,1.34936163486912,103.928490119258
TAMPINES ST 45,1.35970826859449,103.958237169454
SIMEI ST 2,1.34082588501333,103.949465476094
WOODLANDS AVE 3,1.43277433932257,103.779091222588
LENGKONG TIGA,1.3239768755418,103.91068964878
WOODLANDS ST 82,1.44397726839907,103.792255651832
SERANGOON NTH AVE 4,1.36979941551155,103.873035824458
SERANGOON CTRL DR,1.35403939780038,103.870851534185
BRIGHT HILL DR,1.35707777906852,103.831738982491
SAUJANA RD,1.38233492640361,103.767677663417
CHOA CHU KANG AVE 3,1.37824852197263,103.738056000138
TAMPINES AVE 9,1.36057565431408,103.947725887411
JURONG WEST ST 51,1.35038413736599,103.719025555996
YUNG HO RD,1.32622512691118,103.720671526058
SERANGOON AVE 1,1.36995099247833,103.872312299228
PASIR RIS ST 41,1.37347515509078,103.959878207849
GEYLANG EAST AVE 2,1.31640485669867,103.887906763671
CHOA CHU KANG AVE 2,1.37776693479955,103.740255191585
KIM KEAT LINK,1.33050536301596,103.855776378989
PASIR RIS DR 4,1.36899801064525,103.958647641559
PASIR RIS ST 21,1.37134689166662,103.962056636876
SENG POH RD,1.28462080421635,103.832979536063
HOUGANG ST 51,1.37809447457178,103.88930278963
JURONG WEST ST 72,1.34537305607682,103.699411388844
JURONG WEST ST 71,1.3428341670465,103.695363610901
PASIR RIS ST 52,1.37558356425221,103.94652128223
TAMPINES ST 32,1.35385001382045,103.957427520485
CHOA CHU KANG AVE 4,1.38000806197242,103.736225440727
CHOA CHU KANG LOOP,1.38409587235577,103.744949359275
JLN TENAGA,1.33167117872807,103.906537912581
TAMPINES CTRL 1,1.35590219010974,103.945912182468
TAMPINES ST 33,1.35687847904174,103.937739198068
BT BATOK WEST AVE 7,1.36577391240463,103.748520902563
JURONG WEST AVE 5,1.34988154179299,103.702687484208
TAMPINES AVE 7,1.3575570916133,103.959006565688
WOODLANDS ST 83,1.4408703256275,103.793537796566
CHOA CHU KANG ST 51,1.3917351316672,103.742625104913
PASIR RIS DR 3,1.37900666267017,103.940572426576
YISHUN CTRL 1,1.42750549654333,103.837125284539
CHOA CHU KANG AVE 1,1.37743963470097,103.744383225684
WOODLANDS ST 31,1.42958660649594,103.774850125046
BT MERAH LANE 1,1.2864588189976,103.804200246716
PASIR RIS ST 13,1.36238967424576,103.962716598775
ELIAS RD,1.37786519650248,103.942314065388
BISHAN ST 24,1.35722283090964,103.843785252615
WHAMPOA RD,1.32600536719916,103.855392094806
WOODLANDS ST 41,1.42746602606226,103.773787554503
PASIR RIS ST 71,1.37746279080058,103.934760340229
JURONG WEST ST 74,1.34868982375562,103.698726261467
PASIR RIS DR 1,1.3748820566351,103.940592109521
PASIR RIS ST 72,1.38017396310492,103.935970468387
PASIR RIS DR 10,1.37939133247899,103.938922547778
CHOA CHU KANG ST 52,1.39431509144897,103.74355703816
CLARENCE LANE,1.29305554716505,103.814424413285
CHOA CHU KANG NTH 6,1.39708432396576,103.746598000147
PASIR RIS ST 53,1.37317980509566,103.947553832417
CHOA CHU KANG NTH 5,1.39184565454399,103.746635141653
ANG MO KIO ST 21,1.36707522435153,103.835368735634
JLN DAMAI,1.33324475634461,103.90994321469
CHOA CHU KANG ST 62,1.39884898673942,103.747039912057
WOODLANDS AVE 5,1.43421281069085,103.785491223073
WOODLANDS DR 50,1.43711856085535,103.795316064775
CHOA CHU KANG ST 53,1.39059559281482,103.748024129362
TAMPINES ST 72,1.3588121878635,103.935212702172
UPP SERANGOON RD,1.35434107010011,103.878220827232
JURONG WEST ST 75,1.34872644269898,103.698292005963
STRATHMORE AVE,1.29380260290314,103.807789228113
ANG MO KIO ST 31,1.36502933267756,103.845300649183
TAMPINES ST 34,1.35610972207029,103.959818332884
YUNG AN RD,1.33682896786791,103.721117649246
WOODLANDS AVE 4,1.44291482766823,103.793683729966
CHOA CHU KANG NTH 7,1.40082361833926,103.747421154508
ANG MO KIO ST 11,1.37107664588492,103.834829330951
WOODLANDS AVE 9,1.44431165485789,103.790067364842
YUNG LOH RD,1.32767173847341,103.722407547175
CHOA CHU KANG DR,1.39531071236278,103.747326527117
CHOA CHU KANG ST 54,1.39369034929329,103.746831748711
REDHILL LANE,1.2878470282227,103.818349792057
KANG CHING RD,1.33944780916126,103.721542394967
TAH CHING RD,1.33648470496686,103.72212051084
SIMEI ST 5,1.33853568002535,103.950343411512
WOODLANDS DR 40,1.43230773974499,103.799362168606
WOODLANDS DR 70,1.4407767693337,103.797420277053
TAMPINES ST 71,1.35687847904174,103.937739198068
WOODLANDS DR 42,1.43218120671241,103.799098226014
SERANGOON NTH AVE 3,1.3738388833849,103.872139505564
JELAPANG RD,1.38615145485465,103.766922294143
BT BATOK ST 22,1.34461889355755,103.749789011042
HOUGANG ST 91,1.37560507051107,103.879455004929
WOODLANDS AVE 6,1.42831828137013,103.79604758539
WOODLANDS CIRCLE,1.4456118798325,103.796777439778
CORPORATION DR,1.33736272648667,103.719602742581
LOMPANG RD,1.37890449200417,103.765567187228
WOODLANDS DR 72,1.44411840891704,103.804444768882
CHOA CHU KANG ST 64,1.39672603497195,103.751817992962
BT BATOK ST 24,1.34214330533434,103.75437937672
JLN TECK WHYE,1.37820351130765,103.756450878128
WOODLANDS CRES,1.44477273200993,103.812740484665
WOODLANDS DR 60,1.43270488189982,103.797917834549
CHANGI VILLAGE RD,1.38353330187457,103.987339394994
BT BATOK ST 25,1.34093520136311,103.76066764737
HOUGANG AVE 9,1.37532253773567,103.88293193004
JURONG WEST CTRL 1,1.3424622385434,103.705540895402
WOODLANDS RING RD,1.43648894729939,103.800148469692
CHOA CHU KANG AVE 5,1.37602460873478,103.738430058838
TOH GUAN RD,1.33927631440922,103.745175915636
JURONG WEST ST 61,1.34079486662563,103.697178992835
WOODLANDS DR 14,1.43273620725049,103.79023031392
HOUGANG ST 92,1.37423994622643,103.878829717618
CHOA CHU KANG CRES,1.38234139419018,103.750776869899
SEMBAWANG CL,1.43485534655252,103.802807596844
CANBERRA RD,1.45361014432056,103.819625588635
SEMBAWANG CRES,1.44405152662976,103.819525889968
SEMBAWANG VISTA,1.44634275472687,103.820816616633
COMPASSVALE WALK,1.38938377954597,103.900255757851
RIVERVALE ST,1.39248356931296,103.907225373554
WOODLANDS DR 62,1.43989958331782,103.804725587384
SEMBAWANG DR,1.45555388401849,103.81464932384
WOODLANDS DR 53,1.43228169943574,103.795797044364
WOODLANDS DR 52,1.43188746099951,103.797920739127
RIVERVALE WALK,1.38276428893595,103.899272035914
COMPASSVALE LANE,1.38659683143747,103.898365036709
RIVERVALE DR,1.38246038039285,103.902238681998
SENJA RD,1.38509602471476,103.760218434373
JURONG WEST ST 65,1.33832453444579,103.700856222877
RIVERVALE CRES,1.39115678760038,103.90404773677
WOODLANDS DR 44,1.43217636744867,103.799266249686
COMPASSVALE DR,1.38900121148939,103.892763307705
WOODLANDS DR 16,1.43061338987334,103.798862387555
COMPASSVALE RD,1.38845251403045,103.896379886373
WOODLANDS DR 73,1.4416971089437,103.805255169877
HOUGANG ST 31,1.3629903786532,103.890463932896
JURONG WEST ST 64,1.34266987142572,103.703627490026
WOODLANDS DR 71,1.43882635430604,103.799297445551
YISHUN ST 20,1.43580262017873,103.835071687249
ADMIRALTY DR,1.43292523586445,103.792006999106
COMPASSVALE ST,1.38316632041848,103.890770165022
BEDOK RESERVOIR VIEW,1.33657512592489,103.935921211882
YUNG SHENG RD,1.33527780016609,103.721722963016
ADMIRALTY LINK,1.45388170417263,103.817174701639
SENGKANG EAST WAY,1.39114107116285,103.898917307865
ANG MO KIO ST 32,1.36565018546903,103.851009800453
ANG MO KIO ST 52,1.37294668133382,103.851635347661
BOON TIONG RD,1.28636578112537,103.828789865607
JURONG WEST ST 62,1.34012270751657,103.699383922237
ANCHORVALE LINK,1.38879582498399,103.890004423764
CANBERRA LINK,1.44307664075699,103.829702590959
COMPASSVALE CRES,1.38402864110053,103.898104527891
CLEMENTI ST 12,1.32271179028812,103.76988810369
MONTREAL DR,1.45089251057067,103.823678171092
WELLINGTON CIRCLE,1.45168517614776,103.822516208087
SENGKANG EAST RD,1.38766497450842,103.892158944775
JURONG WEST AVE 3,1.35199463544955,103.702827023618
ANCHORVALE LANE,1.39201362391117,103.884010362877
SENJA LINK,1.38615206922783,103.763180911446
EDGEFIELD PLAINS,1.39747339816869,103.904821824666
ANCHORVALE DR,1.38888120295573,103.891540549804
SEGAR RD,1.38684951970672,103.771705321122
FARRER PK RD,1.31247326486217,103.853929522508
PUNGGOL FIELD,1.39296771529535,103.911961961755
EDGEDALE PLAINS,1.40126905129977,103.915973926594
ANCHORVALE RD,1.38925397515392,103.886445107411
CANTONMENT CL,1.27546534984202,103.840041087946
JLN MEMBINA,1.28519576156367,103.827677219577
FERNVALE LANE,1.38966308328476,103.874088586824
JURONG WEST ST 25,1.3547096550712,103.702641921539
CLEMENTI ST 11,1.32189101790957,103.770595265822
PUNGGOL FIELD WALK,1.39296771529535,103.911961961755
KLANG LANE,1.30893291657634,103.852476116861
PUNGGOL CTRL,1.40022179317137,103.90925208451
JELEBU RD,1.37989494369864,103.764459887796
BUANGKOK CRES,1.38089498895572,103.879323168238
WOODLANDS DR 75,1.44121636995617,103.80659877863
BT BATOK WEST AVE 5,1.36663551749689,103.75055285049
JELLICOE RD,1.3072976722983,103.86211057095
PUNGGOL DR,1.40461003140363,103.908665597763
JURONG WEST ST 24,1.34980792115604,103.708337146037
SEMBAWANG WAY,1.44748254836291,103.812513783442
FERNVALE RD,1.39255040573907,103.876330394996
BUANGKOK LINK,1.38291029056779,103.894452829323
FERNVALE LINK,1.39037504993234,103.878461745339
JLN TIGA,1.30782060282339,103.885092299824
YUAN CHING RD,1.325468074943,103.725221538081
COMPASSVALE LINK,1.382379846623,103.893800423718
MARINE PARADE CTRL,1.30255976974872,103.906041303668
COMPASSVALE BOW,1.38097936418565,103.89575519213
PUNGGOL RD,1.41180653085308,103.908939266805
BEDOK CTRL,1.32633302564898,103.932636597017
PUNGGOL EAST,1.38891366628237,103.912196802325
SENGKANG CTRL,1.38914380084977,103.901353490892
CANTONMENT RD,1.27549895431693,103.841398475091
PUNGGOL PL,1.39423719717117,103.913047323223
SENGKANG WEST AVE,1.3913688093851,103.876156956828
TAMPINES CTRL 7,1.35892339007701,103.940498383792
GHIM MOH LINK,1.30859676574975,103.784545203331
SIMEI LANE,1.3437195631364,103.958424286264
YISHUN ST 41,1.41903123253349,103.846189979282
TELOK BLANGAH ST 31,1.2721945790948,103.806236407449
JLN KAYU,1.39803557905748,103.872583314298
LOR 1A TOA PAYOH,1.33669264885385,103.844796096205
PUNGGOL WALK,1.41120674013031,103.915526951508
SENGKANG WEST WAY,1.39527159096969,103.880343031203
BUANGKOK GREEN,1.38159451793256,103.885209972539
PUNGGOL WAY,1.40592709928122,103.897013157327
YISHUN ST 31,1.43208985750645,103.846198333971
TECK WHYE CRES,1.3829737713941,103.75349019415
MONTREAL LINK,1.45056197040152,103.821965305618
UPP SERANGOON CRES,1.37811995342948,103.90229625161
SUMANG LINK,1.41036447196316,103.901019640351
SENGKANG EAST AVE,1.38621835441264,103.893038290302
YISHUN AVE 1,1.42036586749656,103.848068608027
ANCHORVALE CRES,1.39837686069905,103.887278025209
ANCHORVALE ST,1.39602238832875,103.891834051543
TAMPINES CTRL 8,1.35673316454402,103.940165250463
YISHUN ST 51,1.41812574615209,103.845416491236
UPP SERANGOON VIEW,1.37743337773735,103.903713550367
TAMPINES AVE 1,1.34529287146324,103.93422869419
BEDOK RESERVOIR CRES,1.33654252433262,103.922134311843
ANG MO KIO ST 61,1.38123639232963,103.841002336021
DAWSON RD,1.29386475464004,103.810092969298
FERNVALE ST,1.39858781966473,103.874632339147
HOUGANG ST 32,1.3637671441634,103.895314741866
TAMPINES ST 86,1.35021013028761,103.927274573665
SUMANG WALK,1.40509726671603,103.895362277221
CHOA CHU KANG AVE 7,1.37415475885734,103.746797138324
KEAT HONG CL,1.37451449967133,103.742731114305
JURONG WEST CTRL 3,1.33932334709211,103.705457018433
KEAT HONG LINK,1.37573320763015,103.748420030711
ALJUNIED AVE 2,1.32064636781982,103.88702414
CANBERRA CRES,1.4456745290189,103.831508132401
SUMANG LANE,1.40133718290132,103.89496316724
CANBERRA ST,1.45139998591606,103.830859953414
ANG MO KIO ST 44,1.36363517582629,103.85801093879
WOODLANDS RISE,1.44612881154559,103.804589469079
CANBERRA WALK,1.44747059180371,103.829031004211
